PolicyNumber,CustomerID,ClaimNumber,Age,Gender,CoverageAmount,PremiumAmount,PolicyStartDate,PolicyEndDate,PolicyType,ClaimStatus,ClaimDate,ClaimAmount,Age Group,Active/ Inactive
P1048,C1048,C1048,56,Male,44786.30078125,442.54998779296875,2024-02-16 00:00:00,2025-02-16 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1049,C1049,C1049,68,Female,108791.2578125,231.8300018310547,2024-02-17 00:00:00,2025-02-17 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P105,C105,C105,49,Female,95106.671875,318.3999938964844,2024-02-03 00:00:00,2025-02-03 00:00:00,Travel,Settled,13-09-2024,4583.85009765625,Adult,Active
P1050,C1050,C1050,34,Male,26746.380859375,701.4000244140625,2024-03-23 00:00:00,2025-03-23 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1051,C1051,C1051,69,Female,75930.7109375,320.07000732421875,2023-12-06 00:00:00,2024-12-06 00:00:00,Health,Pending,08-01-2024,2587.8701171875,Elder,Active
P1052,C1052,C1052,63,Male,19436.4609375,992.27001953125,2024-01-22 00:00:00,2025-01-22 00:00:00,Health,Rejected,NULL,0,Elder,Active
P1053,C1053,C1053,85,Female,99666.21875,326.1499938964844,2024-05-23 00:00:00,2025-05-23 00:00:00,Health,Settled,13-04-2025,4038.090087890625,Elder,Active
P1054,C1054,C1054,64,Male,69836.8828125,433.1499938964844,2023-08-25 00:00:00,2024-08-25 00:00:00,Travel,Rejected,NULL,0,Elder,Inactive
P1055,C1055,C1055,85,Female,92062.65625,451.44000244140625,2023-12-23 00:00:00,2024-12-23 00:00:00,Life,Pending,24-01-2024,1007.219970703125,Elder,Active
P1056,C1056,C1056,59,Male,47517.69921875,778.1900024414062,2023-08-12 00:00:00,2024-08-12 00:00:00,Travel,Settled,27-11-2023,1066.989990234375,Adult,Inactive
P1057,C1057,C1057,35,Female,82449.140625,787.25,2024-01-11 00:00:00,2025-01-11 00:00:00,Life,Rejected,NULL,0,Adult,Active
P1058,C1058,C1058,56,Male,98713.328125,783.1500244140625,2024-05-05 00:00:00,2025-05-05 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1059,C1059,C1059,30,Female,105064.3515625,192.72999572753906,2023-12-02 00:00:00,2024-12-02 00:00:00,Health,Pending,20-04-2024,4126.0400390625,Adult,Active
P106,C106,C106,20,Male,59257.96875,319.44000244140625,2023-11-29 00:00:00,2024-11-29 00:00:00,Travel,Settled,07-06-2024,2274.469970703125,Young Adult,Active
P1060,C1060,C1060,24,Male,16269.150390625,982.1400146484375,2023-12-15 00:00:00,2024-12-15 00:00:00,Health,Settled,02-01-2024,5448.52978515625,Young Adult,Active
P1061,C1061,C1061,75,Female,106385.3828125,390.70001220703125,2023-07-22 00:00:00,2024-07-22 00:00:00,Home,Pending,19-09-2023,3874.739990234375,Elder,Inactive
P1062,C1062,C1062,54,Male,76065.859375,528.780029296875,2024-07-08 00:00:00,2025-07-08 00:00:00,Travel,Pending,07-05-2025,3157.89990234375,Adult,Active
P1063,C1063,C1063,77,Female,74102.3828125,675.0399780273438,2024-05-22 00:00:00,2025-05-22 00:00:00,Travel,Settled,03-03-2025,2282.300048828125,Elder,Active
P1064,C1064,C1064,53,Male,89232.6171875,887.1199951171875,2023-11-02 00:00:00,2024-11-02 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1065,C1065,C1065,39,Female,104114.75,178.52999877929688,2024-06-09 00:00:00,2025-06-09 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1066,C1066,C1066,56,Male,51038.53125,125.61000061035156,2024-02-12 00:00:00,2025-02-12 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1067,C1067,C1067,76,Female,84621.7578125,459.8699951171875,2024-04-18 00:00:00,2025-04-18 00:00:00,Auto,Rejected,NULL,0,Elder,Active
P1068,C1068,C1068,80,Male,97067.5390625,494.4599914550781,2023-10-17 00:00:00,2024-10-17 00:00:00,Health,Rejected,NULL,0,Elder,Active
P1069,C1069,C1069,56,Female,24371.5390625,143.8699951171875,2024-04-02 00:00:00,2025-04-02 00:00:00,Home,Settled,18-07-2024,3787,Adult,Active
P107,C107,C107,52,Female,11793.9697265625,707.7100219726562,2024-03-31 00:00:00,2025-03-31 00:00:00,Travel,Settled,09-11-2024,4204.97021484375,Adult,Active
P1070,C1070,C1070,23,Male,58130.25,444.1700134277344,2024-02-08 00:00:00,2025-02-08 00:00:00,Travel,Rejected,NULL,0,Young Adult,Active
P1071,C1071,C1071,51,Female,81982.03125,561.8200073242188,2023-11-08 00:00:00,2024-11-08 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1072,C1072,C1072,63,Male,65887.8125,958.5499877929688,2023-07-29 00:00:00,2024-07-29 00:00:00,Life,Rejected,NULL,0,Elder,Inactive
P1073,C1073,C1073,19,Female,107267.1171875,1044.47998046875,2024-05-20 00:00:00,2025-05-20 00:00:00,Travel,Rejected,NULL,0,Young Adult,Active
P1074,C1074,C1074,30,Male,101049.1875,894.27001953125,2023-11-30 00:00:00,2024-11-30 00:00:00,Home,Pending,02-01-2024,1072.3399658203125,Adult,Active
P1075,C1075,C1075,26,Female,10468.66015625,1094.47998046875,2023-11-12 00:00:00,2024-11-12 00:00:00,Auto,Settled,23-12-2023,3548.72998046875,Adult,Active
P1076,C1076,C1076,22,Male,99326.78125,804.6199951171875,2023-09-15 00:00:00,2024-09-15 00:00:00,Life,Settled,08-12-2023,735.9299926757812,Young Adult,Inactive
P1077,C1077,C1077,80,Female,91569.9921875,857.5499877929688,2024-06-01 00:00:00,2025-06-01 00:00:00,Travel,Settled,13-01-2025,5039.91015625,Elder,Active
P1078,C1078,C1078,28,Male,92113.7109375,184.0500030517578,2024-02-08 00:00:00,2025-02-08 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1079,C1079,C1079,77,Female,49939.8984375,1069.6199951171875,2024-06-20 00:00:00,2025-06-20 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P108,C108,C108,24,Male,105880.8125,682.5999755859375,2023-11-03 00:00:00,2024-11-03 00:00:00,Life,Rejected,NULL,0,Young Adult,Active
P1080,C1080,C1080,37,Male,70295.046875,780.6400146484375,2024-01-24 00:00:00,2025-01-24 00:00:00,Travel,Settled,15-10-2024,2955.070068359375,Adult,Active
P1081,C1081,C1081,46,Female,30906.740234375,525.260009765625,2023-09-14 00:00:00,2024-09-14 00:00:00,Auto,Rejected,NULL,0,Adult,Inactive
P1082,C1082,C1082,61,Male,60968.0390625,775.5999755859375,2023-12-16 00:00:00,2024-12-16 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P1083,C1083,C1083,41,Female,75867.59375,356.94000244140625,2023-12-20 00:00:00,2024-12-20 00:00:00,Travel,Settled,05-08-2024,2315.989990234375,Adult,Active
P1084,C1084,C1084,23,Male,48595.62109375,554.7899780273438,2023-12-01 00:00:00,2024-12-01 00:00:00,Travel,Settled,01-02-2024,806.0700073242188,Young Adult,Active
P1085,C1085,C1085,84,Female,68956.1796875,676.4000244140625,2023-09-10 00:00:00,2024-09-10 00:00:00,Travel,Settled,03-02-2024,3849.840087890625,Elder,Inactive
P1086,C1086,C1086,54,Male,41580.87890625,1022.4000244140625,2023-09-07 00:00:00,2024-09-07 00:00:00,Life,Rejected,NULL,0,Adult,Inactive
P1087,C1087,C1087,78,Female,96751.4921875,140.86000061035156,2024-07-12 00:00:00,2025-07-12 00:00:00,Auto,Settled,13-03-2025,3258.699951171875,Elder,Active
P1088,C1088,C1088,67,Male,85458.1328125,619.7000122070312,2024-04-21 00:00:00,2025-04-21 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P1089,C1089,C1089,61,Female,53738.71875,319.1700134277344,2024-05-08 00:00:00,2025-05-08 00:00:00,Life,Settled,28-02-2025,4675.77978515625,Elder,Active
P109,C109,C109,54,Female,36118.21875,745.1199951171875,2024-04-23 00:00:00,2025-04-23 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1090,C1090,C1090,45,Male,50504.98828125,900.280029296875,2023-10-13 00:00:00,2024-10-13 00:00:00,Travel,Pending,16-04-2024,2987.699951171875,Adult,Active
P1091,C1091,C1091,74,Female,13076.25,576.1699829101562,2024-05-15 00:00:00,2025-05-15 00:00:00,Life,Pending,31-01-2025,1389.1800537109375,Elder,Active
P1092,C1092,C1092,66,Male,47440.3203125,182.00999450683594,2023-11-25 00:00:00,2024-11-25 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P1093,C1093,C1093,58,Female,109475.59375,411.4599914550781,2024-07-06 00:00:00,2025-07-06 00:00:00,Life,Settled,15-03-2025,3433.929931640625,Adult,Active
P1094,C1094,C1094,65,Male,81227.0625,666.5700073242188,2024-01-17 00:00:00,2025-01-17 00:00:00,Life,Pending,09-01-2025,3859.89990234375,Elder,Active
P1095,C1095,C1095,44,Female,91789.09375,1071.8299560546875,2023-11-19 00:00:00,2024-11-19 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1096,C1096,C1096,81,Male,53455.7109375,588.4400024414062,2023-09-11 00:00:00,2024-09-11 00:00:00,Home,Rejected,NULL,0,Elder,Inactive
P1097,C1097,C1097,37,Female,77643.2265625,152.97999572753906,2023-09-10 00:00:00,2024-09-10 00:00:00,Health,Rejected,NULL,0,Adult,Inactive
P1098,C1098,C1098,30,Male,34681.859375,824.7100219726562,2024-01-22 00:00:00,2025-01-22 00:00:00,Travel,Settled,10-02-2024,2781.56005859375,Adult,Active
P1099,C1099,C1099,59,Female,37450.671875,746.3200073242188,2023-12-26 00:00:00,2024-12-26 00:00:00,Health,Pending,04-09-2024,4785.85009765625,Adult,Active
P11,C11,C11,65,Female,46868.19140625,333.20001220703125,2023-08-04 00:00:00,2024-08-04 00:00:00,Health,Rejected,NULL,0,Elder,Inactive
P110,C110,C110,57,Male,95786.09375,454.9200134277344,2024-02-27 00:00:00,2025-02-27 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1100,C1100,C1100,65,Male,65247.859375,220.47000122070312,2023-07-17 00:00:00,2024-07-17 00:00:00,Auto,Settled,17-09-2023,3725.5,Elder,Inactive
P1101,C1101,C1101,59,Female,85805.25,364.30999755859375,2023-12-25 00:00:00,2024-12-25 00:00:00,Auto,Settled,22-05-2024,939.8099975585938,Adult,Active
P1102,C1102,C1102,42,Male,91805.0390625,399.30999755859375,2024-07-05 00:00:00,2025-07-05 00:00:00,Travel,Pending,26-03-2025,1272.9200439453125,Adult,Active
P1103,C1103,C1103,27,Female,74553.640625,328.6600036621094,2024-02-03 00:00:00,2025-02-03 00:00:00,Auto,Rejected,NULL,0,Adult,Active
P1104,C1104,C1104,78,Male,34029.6015625,273.95001220703125,2024-05-22 00:00:00,2025-05-22 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P1105,C1105,C1105,66,Female,75223.890625,762.760009765625,2023-10-31 00:00:00,2024-10-31 00:00:00,Life,Settled,21-11-2023,5219.89013671875,Elder,Active
P1106,C1106,C1106,29,Male,105279.953125,1031.8800048828125,2024-01-12 00:00:00,2025-01-12 00:00:00,Auto,Settled,28-04-2024,2901.659912109375,Adult,Active
P1107,C1107,C1107,71,Female,107229.03125,921.0599975585938,2024-06-05 00:00:00,2025-06-05 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P1108,C1108,C1108,37,Male,20917.73046875,719.72998046875,2023-09-15 00:00:00,2024-09-15 00:00:00,Auto,Rejected,NULL,0,Adult,Inactive
P1109,C1109,C1109,57,Female,28680.44921875,391.8900146484375,2023-10-12 00:00:00,2024-10-12 00:00:00,Travel,Pending,23-09-2024,3879.260009765625,Adult,Inactive
P111,C111,C111,53,Female,16904.470703125,212.2899932861328,2023-08-08 00:00:00,2024-08-08 00:00:00,Travel,Settled,18-09-2023,4160.89013671875,Adult,Inactive
P1110,C1110,C1110,77,Male,66667.921875,882.3499755859375,2024-03-30 00:00:00,2025-03-30 00:00:00,Health,Settled,31-10-2024,1593.280029296875,Elder,Active
P1111,C1111,C1111,29,Female,94612.84375,598.0800170898438,2023-11-16 00:00:00,2024-11-16 00:00:00,Auto,Pending,03-05-2024,2461.72998046875,Adult,Active
P1112,C1112,C1112,59,Male,64730.87890625,441.9100036621094,2024-02-20 00:00:00,2025-02-20 00:00:00,Auto,Settled,15-07-2024,1902.6500244140625,Adult,Active
P1113,C1113,C1113,80,Female,26468.009765625,831.5900268554688,2023-08-10 00:00:00,2024-08-10 00:00:00,Health,Settled,10-10-2023,573.8699951171875,Elder,Inactive
P1114,C1114,C1114,42,Male,26360.490234375,754.3900146484375,2023-10-01 00:00:00,2024-10-01 00:00:00,Travel,Settled,09-12-2023,587.47998046875,Adult,Inactive
P1115,C1115,C1115,85,Female,81481.109375,705.2100219726562,2024-06-27 00:00:00,2025-06-27 00:00:00,Auto,Rejected,NULL,0,Elder,Active
P1116,C1116,C1116,25,Male,73685.1171875,610.4199829101562,2024-03-17 00:00:00,2025-03-17 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1117,C1117,C1117,49,Female,96459.1328125,237.58999633789062,2024-01-17 00:00:00,2025-01-17 00:00:00,Travel,Pending,29-04-2024,1061.3499755859375,Adult,Active
P1118,C1118,C1118,43,Male,100306.96875,486.82000732421875,2024-04-30 00:00:00,2025-04-30 00:00:00,Auto,Rejected,NULL,0,Adult,Active
P1119,C1119,C1119,27,Female,59647.80859375,260.5799865722656,2023-09-08 00:00:00,2024-09-08 00:00:00,Travel,Settled,05-04-2024,2144.179931640625,Adult,Inactive
P112,C112,C112,76,Male,102047.4921875,373.42999267578125,2023-08-26 00:00:00,2024-08-26 00:00:00,Travel,Settled,02-08-2024,2161.7099609375,Elder,Inactive
P1120,C1120,C1120,83,Male,54330.171875,443.2699890136719,2024-04-26 00:00:00,2025-04-26 00:00:00,Home,Settled,20-12-2024,4218.580078125,Elder,Active
P1121,C1121,C1121,19,Female,11716.75,621.739990234375,2024-06-28 00:00:00,2025-06-28 00:00:00,Life,Rejected,NULL,0,Young Adult,Active
P1122,C1122,C1122,59,Male,11993.2099609375,438.54998779296875,2023-11-01 00:00:00,2024-11-01 00:00:00,Auto,Rejected,NULL,0,Adult,Active
P1123,C1123,C1123,28,Female,70929.40625,784.47998046875,2023-09-21 00:00:00,2024-09-21 00:00:00,Auto,Pending,22-01-2024,1664.3599853515625,Adult,Inactive
P1124,C1124,C1124,74,Male,63418.0703125,497.260009765625,2023-08-20 00:00:00,2024-08-20 00:00:00,Travel,Settled,08-03-2024,2128.14990234375,Elder,Inactive
P1125,C1125,C1125,24,Female,32334.150390625,627.739990234375,2024-06-19 00:00:00,2025-06-19 00:00:00,Travel,Settled,25-01-2025,2199,Young Adult,Active
P1126,C1126,C1126,27,Male,40539.0390625,131.86000061035156,2024-01-18 00:00:00,2025-01-18 00:00:00,Travel,Settled,30-07-2024,2675.159912109375,Adult,Active
P1127,C1127,C1127,74,Female,22325.08984375,1072.77001953125,2024-04-02 00:00:00,2025-04-02 00:00:00,Auto,Pending,12-05-2024,507.17999267578125,Elder,Active
P1128,C1128,C1128,83,Male,58108.98828125,1007.6599731445312,2023-12-04 00:00:00,2024-12-04 00:00:00,Travel,Rejected,NULL,0,Elder,Active
P1129,C1129,C1129,68,Female,57331.58984375,683.030029296875,2023-12-13 00:00:00,2024-12-13 00:00:00,Health,Rejected,NULL,0,Elder,Active
P113,C113,C113,61,Female,42064.73046875,608.77001953125,2023-12-27 00:00:00,2024-12-27 00:00:00,Travel,Settled,23-11-2024,1846.199951171875,Elder,Active
P1130,C1130,C1130,49,Male,67922.5234375,912.7999877929688,2024-04-05 00:00:00,2025-04-05 00:00:00,Health,Rejected,NULL,0,Adult,Active
P1131,C1131,C1131,71,Female,81544.7421875,447.6600036621094,2023-09-16 00:00:00,2024-09-16 00:00:00,Travel,Pending,04-09-2024,3085.31005859375,Elder,Inactive
P1132,C1132,C1132,25,Male,107927.109375,1009.3900146484375,2023-12-10 00:00:00,2024-12-10 00:00:00,Life,Settled,08-09-2024,2688.72998046875,Adult,Active
P1133,C1133,C1133,23,Female,54673.890625,693.6699829101562,2023-09-14 00:00:00,2024-09-14 00:00:00,Health,Settled,07-06-2024,2256.639892578125,Young Adult,Inactive
P1134,C1134,C1134,68,Male,24943.990234375,1043.9599609375,2024-02-13 00:00:00,2025-02-13 00:00:00,Travel,Pending,06-10-2024,5323.4501953125,Elder,Active
P1135,C1135,C1135,66,Female,95607.3828125,782.7999877929688,2024-01-05 00:00:00,2025-01-05 00:00:00,Life,Settled,22-03-2024,4444.72021484375,Elder,Active
P1136,C1136,C1136,59,Male,47694.87109375,542.4199829101562,2023-11-19 00:00:00,2024-11-19 00:00:00,Travel,Rejected,NULL,0,Adult,Active
P1137,C1137,C1137,25,Female,45605.12109375,210.50999450683594,2023-10-24 00:00:00,2024-10-24 00:00:00,Travel,Settled,17-10-2024,1941.25,Adult,Active
P1138,C1138,C1138,28,Male,51730.62109375,174.8000030517578,2023-10-09 00:00:00,2024-10-09 00:00:00,Travel,Settled,12-06-2024,2770.010009765625,Adult,Inactive
P1139,C1139,C1139,68,Female,57971.8203125,674.530029296875,2023-09-05 00:00:00,2024-09-05 00:00:00,Home,Pending,11-11-2023,2434.800048828125,Elder,Inactive
P114,C114,C114,63,Male,76712.609375,630.9600219726562,2023-09-02 00:00:00,2024-09-02 00:00:00,Auto,Rejected,NULL,0,Elder,Inactive
P1140,C1140,C1140,27,Male,106907.7734375,321.4100036621094,2023-09-20 00:00:00,2024-09-20 00:00:00,Travel,Settled,29-11-2023,1854.760009765625,Adult,Inactive
P1141,C1141,C1141,19,Female,34622.1796875,543.1300048828125,2024-02-29 00:00:00,2025-02-28 00:00:00,Health,Pending,14-08-2024,2609.7099609375,Young Adult,Active
P1142,C1142,C1142,74,Male,33078.78125,513.280029296875,2023-12-17 00:00:00,2024-12-17 00:00:00,Health,Settled,30-07-2024,5202.990234375,Elder,Active
P1143,C1143,C1143,49,Female,73400.0234375,261.739990234375,2023-10-05 00:00:00,2024-10-05 00:00:00,Auto,Rejected,NULL,0,Adult,Inactive
P1144,C1144,C1144,80,Male,24922.6796875,958.4099731445312,2024-01-27 00:00:00,2025-01-27 00:00:00,Life,Pending,22-09-2024,4271.08984375,Elder,Active
